state,election_date,jurisdiction_type,municipality,precinct_name,name,address
NH,2016-11-08,municipality,ROCHESTER ,WARD 02,WARD 02 - Saint Mary's,Parish Center 71 Lowell St Rochester NH 03867
NH,2016-11-08,municipality,ROCHESTER ,WARD 03,WARD 03 - Gonic Elementary,School 11 Railroad Ave Rochester NH 03839
NH,2016-11-08,municipality,ROCHESTER ,WARD 04,WARD 04 - Rochester Home,Depot 280 North Main St Rochester NH 03867
NH,2016-11-08,municipality,ROCHESTER ,WARD 05,WARD 05 - Rochester,Community Center - Chestnut Hill Road Entrance 150 Wakefield St Rochester NH 03867
NH,2016-11-08,municipality,ROCHESTER ,WARD 06,WARD 06 - Elks Lodge 1393,295 Columbus Ave Rochester NH 03867
NH,2016-11-08,municipality,ROLLINSFORD,,Rollinsford Town Hall,667 Main St Rollinsford NH 03869
NH,2016-11-08,municipality,ROXBURY,,Roxbury Town Hall,3 Middletown Rd Roxbury NH 03431
NH,2016-11-08,municipality,RUMNEY,,Russell Elementary School,195 School St Rumney NH 03266
NH,2016-11-08,municipality,RYE,,Rye Elementary School,461 Sagamore Rd Rye NH 03870
NH,2016-11-08,municipality,SALEM ,WARD 01,WARD 01 - Fisk School,14 Main St Salem NH 03079
NH,2016-11-08,municipality,SALEM ,WARD 02,WARD 02 - Soule School,173 S Policy St Salem NH 03079
NH,2016-11-08,municipality,SALEM ,WARD 03,WARD 03 - Barron School,55 Butler St Salem NH 03079
NH,2016-11-08,municipality,SALEM ,WARD 04,WARD 04 - Senior Center,1 Sally Sweets Way Salem NH 03079
NH,2016-11-08,municipality,SALEM ,WARD 06,WARD 06 - No. Salem School,140 Zion Hill Rd Salem NH 03079
NH,2016-11-08,municipality,SALISBURY,,Salisbury Town Hall,645 Old Turnpike Rd Salisbury NH 03268
NH,2016-11-08,municipality,SANBORNTON,,Sanbornton Old Town Hall,4 Meetinghouse Hill Rd Sanbornton NH 03269
NH,2016-11-08,municipality,SANDOWN,,Sandown Town Hall,320 Main St Sandown NH 03873
NH,2016-11-08,municipality,SANDWICH,,Sandwich Town Hall,8 Maple St Sandwich NH 03227
NH,2016-11-08,municipality,SARGENT'S PURCHASE,,Gorham Town Hall,20 Park St Sargent's Purchase NH 03581
NH,2016-11-08,municipality,SEABROOK,,Seabrook Community Center,311 Lafayette Rd Seabrook NH 03874
NH,2016-11-08,municipality,SHARON,,Sharon Meeting House,432 Rt 123 Sharon NH 03458
NH,2016-11-08,municipality,SHELBURNE,,Shelburne Town Hall,74 Village Rd Shelburne NH 03581
NH,2016-11-08,municipality,SOMERSWORTH ,WARD 01,WARD 01 - City Hall,1 Government Way Somersworth NH 03878
NH,2016-11-08,municipality,SOMERSWORTH ,WARD 02,WARD 02 - Summersworth,Historical Museum 157 Main St Somersworth NH 03878
NH,2016-11-08,municipality,SOMERSWORTH ,WARD 03,WARD 03 - Flanagan,Community Center 25 Bartlett Ave Somersworth NH 03878
NH,2016-11-08,municipality,SOMERSWORTH ,WARD 04,WARD 04 - Charpentier,Apartments 28 Franklin St Somersworth NH 03878
NH,2016-11-08,municipality,SOMERSWORTH ,WARD 05,WARD 05 - Romeo J Messier,Building 218 Main St Somersworth NH 03878
NH,2016-11-08,municipality,SOUTH HAMPTON,,South Hamtpn Town Hall,3 Hilldale Ave South Hampton NH 03827
NH,2016-11-08,municipality,SPRINGFIELD,,Springfield Meeting House,23 Four Corners Rd Springfield NH 03284
NH,2016-11-08,municipality,STARK,,Stark Volunteer Fire,Department 1276 Stark Hwy Stark NH 03582
NH,2016-11-08,municipality,STEWARTSTOWN,,Stewartstown Community,School 60 School St Stewartstown NH 03597
NH,2016-11-08,municipality,STODDARD,,Stoddard Town Hall,1450 Route 123 North Stoddard NH 03464
NH,2016-11-08,municipality,STRAFFORD,,Strafford Town Hall,12 Mountain View Dr Strafford NH 03884
NH,2016-11-08,municipality,STRATFORD,,Fuller Town Hall,1956 Us Route 3 Stratford NH 03590
NH,2016-11-08,municipality,STRATHAM,,Stratham Municipal Center,10 Bunker Hill Ave Stratham NH 03885
NH,2016-11-08,municipality,SUGAR HILL,,Carolina Crapo Building,1411 Route 117 Sugar Hill NH 03586
NH,2016-11-08,municipality,SULLIVAN,,Sullivan Town Hall,452 Centre St Sullivan NH 03445
NH,2016-11-08,municipality,SUNAPEE,,Sherburne Gymnasium,561 Route 11 Sunapee NH 03782
NH,2016-11-08,municipality,SURRY,,Surry Town Hall,1 Village Rd Surry NH 03431
NH,2016-11-08,municipality,SUTTON,,Sutton Town Hall,93 Main St Sutton NH 03221
NH,2016-11-08,municipality,SWANZEY,,Christian Life Fellowship,Church 211 Whitcomb Rd Swanzey NH 03446
NH,2016-11-08,municipality,TAMWORTH,,Tamworth Town House,27 Cleveland Hill Rd Tamworth NH 03886
NH,2016-11-08,municipality,TEMPLE,,Temple Town Hall,19 Main St Temple NH 03084
NH,2016-11-08,municipality,THORNTON,,Thornton Town Office Building,16 Merrill Access Rd Thornton NH 03285
NH,2016-11-08,municipality,TILTON,,Winnisquam High School,435 W Main St Tilton NH 03276
NH,2016-11-08,municipality,TROY,,Community Center,61 South St Troy NH 03465
NH,2016-11-08,municipality,TUFTONBORO,,Tuftonboro Town House,247 Middle Rd Tuftonboro NH 03816
NH,2016-11-08,municipality,UNITY,,Town Hall,896 2Nd Nh Tpke Unity NH 03603
NH,2016-11-08,municipality,WAKEFIELD,,Wakefield Town Hall Opera,House 2 High St Wakefield NH 03872
NH,2016-11-08,municipality,WALPOLE ,WARD 01,WARD 01 - Walpole Town Hall,34 Elm St Walpole NH 03608
NH,2016-11-08,municipality,WALPOLE ,WARD 02,WARD 02 - St Peters Church,38 Church St Walpole NH 03609
NH,2016-11-08,municipality,WARNER,,Warner Town Hall,5 East Main St Warner NH 03278
NH,2016-11-08,municipality,WARREN,,Town Hall,21 Water St Warren NH 03279
NH,2016-11-08,municipality,WASHINGTON,,Camp Morgan Lodge,338 Millen Pond Rd Washington NH 03280
NH,2016-11-08,municipality,WATERVILLE VALLEY,,Recreation Department,11 Noon Peak Rd Waterville Valley NH 03215
NH,2016-11-08,municipality,WEARE,,Weare Middle School,16 East Rd Weare NH 03281
NH,2016-11-08,municipality,WEBSTER,,Webster Town Hall,945 Battle St Webster NH 03303
NH,2016-11-08,municipality,WENTWORTH,,Wentworth Elementary School,1247 Mount Moosilauke Hwy Wentworth NH 03282
NH,2016-11-08,municipality,WENTWORTH'S LOCATION,,Errol Town Hall,33 Main St Wentworth's Location NH 03579
NH,2016-11-08,municipality,WESTMORELAND,,Westmoreland Town Hall,780 Route 63 Westmoreland NH 03467
NH,2016-11-08,municipality,WHITEFIELD,,Cd Mcintyre Auditorium,16 Highland St Whitefield NH 03598
NH,2016-11-08,municipality,WILMOT,,Wilmot Town Hall,9 North Wilmot Rd Wilmot NH 03287
NH,2016-11-08,municipality,WILTON,,Wilton Town Hall,42 Main St Wilton NH 03086
NH,2016-11-08,municipality,WINCHESTER,,Town Hall,1 Richmond Rd Winchester NH 03470
NH,2016-11-08,municipality,WINDHAM,,Windham High School,64 London Bridge Rd Windham NH 03087
NH,2016-11-08,municipality,WINDSOR,,Windsor Town Hall,14 White Pond Rd Windsor NH 03244
NH,2016-11-08,municipality,WOLFEBORO,,Wolfeboro Town Hall,84 S Main St Wolfeboro NH 03894
NH,2016-11-08,municipality,WOODSTOCK,,Woodstock Town Hall,924 Daniel Webster Hwy Woodstock NH 03262
